Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-16,137.4718590719767,146.65302136758115,132.5621498194061,132.9745635986328,87905900,0.0,0
2020-03-17,137.47185291265146,144.8364164615435,132.56214388005677,143.9232177734375,81059800,0.0,0
2020-03-18,135.50799967047968,143.3635358832611,132.58181662652757,137.86465454101562,81593200,0.0,0
2020-03-19,140.19183342154912,147.4385536363178,136.48990868142835,140.13291931152344,85922700,0.0,0
2020-03-20,143.36351155435227,144.44365359360722,133.40662169367428,134.86972045898438,84866200,0.0,0
2020-03-23,134.53584345671393,138.03156892424113,130.12693427115877,133.52444458007812,78975200,0.0,0
2020-03-24,141.1541304629583,146.89849585248697,138.7189190509748,145.66123962402344,82516700,0.0,0
2020-03-25,146.22096110992987,151.54308401629643,141.83167994291796,144.2668914794922,75638200,0.0,0
2020-03-26,145.72016124639256,153.83101033297172,145.6907041902192,153.2909393310547,64568100,0.0,0
2020-03-27,149.00967258939414,152.09296933392403,146.5057179281461,146.99668884277344,57042300,0.0,0
2020-03-30,149.6872269746455,157.69987654642438,147.3011003449767,157.3365478515625,63420300,0.0,0
2020-03-31,156.5215451610861,161.8043977926794,153.73283354201826,154.86207580566406,77927200,0.0,0
2020-04-01,150.23710208000435,154.90132583739012,148.09647605278207,149.36317443847656,57969900,0.0,0
2020-04-02,149.11768733105245,152.67231197121532,147.64477458182566,152.45628356933594,49630700,0.0,0
2020-04-03,152.29917904490512,154.53800514835828,149.44172481333572,151.05210876464844,41243300,0.0,0
2020-04-06,157.42489883627556,163.4932912848007,154.73437321335769,162.28550720214844,67111700,0.0,0
2020-04-07,166.5275100773391,166.93010982053167,160.31181654309128,160.5376739501953,62769000,0.0,0
2020-04-08,162.67828270685118,163.6602244253569,160.54747097568278,162.14804077148438,48318200,0.0,0
2020-04-09,163.35585299175062,164.3476089040844,160.38057027150518,162.1578826904297,51385100,0.0,0
2020-04-13,161.3821532694271,162.5801235564765,159.369169427533,162.5211944580078,41905300,0.0,0
2020-04-14,165.94816983691368,170.61239354534763,164.96622800355917,170.56329345703125,52874300,0.0,0
2020-04-15,168.10845577692368,170.4356683445802,166.18385798064708,168.77618408203125,40940800,0.0,0
2020-04-16,171.15246082618575,174.07864323060244,169.77773329945654,173.8429718017578,50479600,0.0,0
2020-04-17,176.25857388423313,176.74954484212793,172.69411993527862,175.3748321533203,52765600,0.0,0
2020-04-20,173.4404140110309,175.52212618145353,171.83002978833224,171.8987579345703,36669600,0.0,0
2020-04-21,170.36691230570096,170.53384062351557,163.1103625768513,164.78948974609375,56203700,0.0,0
2020-04-22,168.29504014925126,170.85790938942245,167.73534099598763,170.38658142089844,34620200,0.0,0
2020-04-23,170.96590424909294,171.89874605439272,167.82369317602013,168.32447814941406,32790800,0.0,0
2020-04-24,168.95290867099823,171.40776324307072,167.62729619202503,171.39794921875,34277600,0.0,0
2020-04-27,173.4011081345628,173.70550771151454,170.17052603251034,170.906982421875,33194400,0.0,0
2020-04-28,172.41918408578147,172.4977412400813,166.33114696837552,166.74356079101562,34392700,0.0,0
2020-04-29,170.09195515620962,174.47140707416492,168.77615677607005,174.22592163085938,51286600,0.0,0
2020-04-30,176.749528106576,177.14229884240447,173.04760323925797,175.9738006591797,53875900,0.0,0
2020-05-01,172.62538686570488,175.4140982309784,170.86770249598914,171.4176025390625,39370500,0.0,0
2020-05-04,171.33903565370656,175.76758792190543,170.66149339233112,175.6104736328125,30372900,0.0,0
2020-05-05,177.3583325730115,180.33361518690865,176.6513332406752,177.4958038330078,36839200,0.0,0
2020-05-06,178.79198271973758,180.87369475041854,178.3501118619555,179.24366760253906,32139300,0.0,0
2020-05-07,180.8442450120844,181.21738774334563,179.28296092587814,180.2845458984375,28316000,0.0,0
2020-05-08,181.6396020357112,181.65924506832414,180.04886100866983,181.3450164794922,30877800,0.0,0
2020-05-11,179.84263073828586,184.12389749185908,179.548060191331,183.36781311035156,30892700,0.0,0
2020-05-12,183.4267262194627,183.6623826557415,179.00798824032637,179.2141876220703,32038200,0.0,0
2020-05-13,179.2534836940895,180.72639643605697,173.35200371866418,176.50404357910156,44711500,0.0,0
2020-05-14,174.33397702393052,177.42710333049496,172.5075642947888,177.26998901367188,41873900,0.0,0
2020-05-15,175.82649541574918,183.6820297757656,173.80369771536377,179.8524627685547,46610400,0.0,0
2020-05-18,182.39571998855942,182.83759087613566,180.63805046393557,181.57089233398438,35264500,0.0,0
2020-05-19,181.6887080239873,183.2303639944105,180.17652409506218,180.31399536132812,26799100,0.0,0
2020-05-20,181.9780823459767,183.0021544369268,181.12141850112192,182.8150634765625,31261300,0.51,0
2020-05-21,182.55904639612953,183.8095899588706,180.48137804660357,180.61923217773438,29119500,0.0,0
2020-05-22,180.38290934683215,181.63345283990668,179.74286053975925,180.697998046875,20826900,0.0,0
2020-05-26,183.4846314839929,183.64218334379328,178.32493578779568,178.78773498535156,36073600,0.0,0
2020-05-27,177.43874819306464,179.2013279979747,173.8939208911072,179.02407836914062,39517100,0.0,0
2020-05-28,177.97044046450262,181.32817599439733,177.6159563146491,178.6203155517578,33810200,0.0,0
2020-05-29,179.9299652629391,181.44637576187867,177.6455231817086,180.44200134277344,42130400,0.0,0
2020-06-01,179.742862492005,180.19582034539127,178.67942497095905,180.02842712402344,22622400,0.0,0
2020-06-02,181.42669359269507,182.16520116498555,178.57113698982855,182.0765838623047,30794600,0.0,0
2020-06-03,181.98794978704626,183.09078285203418,180.7669453043999,182.51966857910156,27311000,0.0,0
